

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Bitte eine Frage auswählen! | false Um die syntax darzustellen 6 | false Um die syntax darzustellen 6 | false Zu verdeutlichen, wie es aussieht 5 | false , - Müssen in Anführungszeichen 4 | false Es müssen mindestens 6 Antworten 3 | false eingetragen sein 2 | false Sortiert von Hoch zu Tief 1
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | false Sonne 22 | false Isotope 18 | false Lampe 4 | false Augen 3 | false Uran 0
|a: 0 |b: 0| CurrentScore: 22 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | true Sonne 22 | false Isotope 18 | false Lampe 4 | false Augen 3 | false Uran 0
|a: 0 |b: 0| CurrentScore: 25 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 | false Japan/Fukushima 24 | true Sonne 22 | false Isotope 18 | false Lampe 4 | true Augen 3 | false Uran 0

----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----


----- Neues Spiel -----
|a: 0 |b: 0| CurrentScore: 14 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ein Hilfsmittel für Physiker | true Buch 14 |  | false Taschenrechner 12 |  | false Bleistift 11 |  | false Internet 9 |  | false Computer 9 |  | false Drogen 7 | 
|a: 0 |b: 0| CurrentScore: 26 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ein Hilfsmittel für Physiker | true Buch 14 |  | true Taschenrechner 12 |  | false Bleistift 11 |  | false Internet 9 |  | false Computer 9 |  | false Drogen 7 | 
|a: 0 |b: 0| CurrentScore: 37 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie ein Hilfsmittel für Physiker | true Buch 14 |  | true Taschenrechner 12 |  | true Bleistift 11 |  | false Internet 9 |  | false Computer 9 |  | false Drogen 7 | 
|a: 0 |b: 0| CurrentScore: 37 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | false Sonne 22 |  | false Isotope 18 |  | false Lampe 4 |  | false Augen 3 |  | false Uran 0 | 
|a: 0 |b: 0| CurrentScore: 0 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | false Sonne 22 |  | false Isotope 18 |  | false Lampe 4 |  | false Augen 3 |  | false Uran 0 | 
|a: 0 |b: 0| CurrentScore: 3 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | false Sonne 22 |  | false Isotope 18 |  | false Lampe 4 |  | true Augen 3 |  | false Uran 0 | 
|a: 0 |b: 0| CurrentScore: 7 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | false Sonne 22 |  | false Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | false Uran 0 | 
|a: 0 |b: 0| CurrentScore: 25 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | false Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | false Uran 0 | 
|a: 0 |b: 0| CurrentScore: 47 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | false Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | false Uran 0 | 
|a: 0 |b: 0| CurrentScore: 71 | CurrentTeam: 1 | CurrentLives: 3 | CurrentRound: 1 | CurrentQuestion: Nennen Sie etwas, das strahlt | true Japan/Fukushima 24 |  | true Sonne 22 |  | true Isotope 18 |  | true Lampe 4 |  | true Augen 3 |  | false Uran 0 | 
